"Prediction","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Acer_freemanii",0,1,NA,0.9994,NA,0,NA,6e-04,0,0,0.5
"Class: Acer_glabra",0,1,NA,0.9883,NA,0,NA,0.0117,0,0,0.5
"Class: Acer_grandidentatum",0,1,NA,0.9946,NA,0,NA,0.0054,0,0,0.5
"Class: Acer_negundo",0,1,NA,0.9789,NA,0,NA,0.0211,0,0,0.5
"Class: Acer_pilosum",0,1,NA,0.9865,NA,0,NA,0.0135,0,0,0.5
"Class: Acer_platanoides",0,1,NA,0.9966,NA,0,NA,0.0034,0,0,0.5
"Class: Acer_saccharinum",0,1,NA,0.9932,NA,0,NA,0.0068,0,0,0.5
"Class: Acer_saccharum",0,1,NA,0.9994,NA,0,NA,6e-04,0,0,0.5
"Class: Acer_sieboldianum",0,1,NA,0.9852,NA,0,NA,0.0148,0,0,0.5
"Class: Acer_tataricum",0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
"Class: Acer_ukurunduense",0,1,NA,0.994,NA,0,NA,0.006,0,0,0.5
"Class: Aesculus_hippocastanum",0,1,NA,0.9884,NA,0,NA,0.0116,0,0,0.5
"Class: Aesculus_xhybride",0,1,NA,0.9881,NA,0,NA,0.0119,0,0,0.5
"Class: Alnus_glutinosa",0,1,NA,0.9666,NA,0,NA,0.0334,0,0,0.5
"Class: Alnus_incana",0,1,NA,0.956,NA,0,NA,0.044,0,0,0.5
"Class: Ambrosia_artemisiifolia",0.1132,0.9966,0.6198,0.958,0.6198,0.1132,0.1914,0.0469,0.0053,0.0086,0.5549
"Class: Amelanchier_canadensis",0,1,NA,0.9975,NA,0,NA,0.0025,0,0,0.5
"Class: Amelanchier_laevis",0,1,NA,0.9949,NA,0,NA,0.0051,0,0,0.5
"Class: Betula_alleghaniensis",0,1,NA,0.9924,NA,0,NA,0.0076,0,0,0.5
"Class: Betula_nigra",0,1,NA,0.9932,NA,0,NA,0.0068,0,0,0.5
"Class: Betula_papyrifera",0,1,NA,0.9928,NA,0,NA,0.0072,0,0,0.5
"Class: Betula_pendula",0,1,NA,0.9975,NA,0,NA,0.0025,0,0,0.5
"Class: Betula_populifolia",0,1,NA,0.974,NA,0,NA,0.026,0,0,0.5
"Class: Carpinus_betulus",0,1,NA,0.9956,NA,0,NA,0.0044,0,0,0.5
"Class: Carpinus_caroliniana",0,1,NA,0.9982,NA,0,NA,0.0018,0,0,0.5
"Class: Carya_cordiformis ",0,1,NA,0.9856,NA,0,NA,0.0144,0,0,0.5
"Class: Carya_glabra",0,1,NA,0.9965,NA,0,NA,0.0035,0,0,0.5
"Class: Carya_ovata",0,1,NA,0.9907,NA,0,NA,0.0093,0,0,0.5
"Class: Celtis_occidentalis",0,1,NA,0.9955,NA,0,NA,0.0045,0,0,0.5
"Class: Corylus_avellana",0,1,NA,0.9891,NA,0,NA,0.0109,0,0,0.5
"Class: Corylus_colurna",0,1,NA,0.9961,NA,0,NA,0.0039,0,0,0.5
"Class: Corylus_cornuta",0,1,NA,0.9982,NA,0,NA,0.0018,0,0,0.5
"Class: Cupressaceae_",0,1,NA,0.9825,NA,0,NA,0.0175,0,0,0.5
"Class: Debris",0,1,0,0.9837,0,0,NA,0.0163,0,0,0.5
"Class: Elaeagnus_angustifolia",0,1,NA,0.9951,NA,0,NA,0.0049,0,0,0.5
"Class: Fagus_grandifolia",0,1,NA,0.9976,NA,0,NA,0.0024,0,0,0.5
"Class: Fraxinus_americana",0,1,NA,0.995,NA,0,NA,0.005,0,0,0.5
"Class: Fraxinus_nigra",0,1,NA,0.9967,NA,0,NA,0.0033,0,0,0.5
"Class: Fraxinus_pennsylvannica",0,1,NA,0.9885,NA,0,NA,0.0115,0,0,0.5
"Class: Ginkgo_biloba",0,1,NA,0.9825,NA,0,NA,0.0175,0,0,0.5
