Prediction;Acer_glabra;Acer_grandidentatum;Acer_negundo;Acer_pilosum;Acer_platanoides;Acer_saccharinum;Acer_saccharum;Acer_sieboldianum;Acer_tataricum;Acer_ukurunduense;Aesculus_hippocastanum;Aesculus_x hybride;Alnus_glutinosa;Alnus_incana;Ambrosia_artemisiifolia;Amelanchier_canadensis;Amelanchier_laevis;Betula_alleghaniensis;Betula_nigra;Betula_papyrifera;Betula_pendula;Betula_populifolia;Carpinus_betulus;Carpinus_caroliniana;Carya_cordiformis;Carya_glabra;Carya_ovata;Celtis_occidentalis;Corylus_avellana;Corylus_colurna;Corylus_cornuta;Cupressaceae_others;Elaeagnus_angustifolia;Fraxinus_americana;Fraxinus_pennsylvannica;Ginkgo_biloba;Gleditsia_triacanthos;Juglans_cinera;Juglans_nigra;Juniperus_chinensis;Juniperus_communis;Ligustrum_vulgare;Malus_baccata;Malus_pumila;Malus_spectabilis;Ostrya_virginiana;Picea_abies;Pinus_banksiana;Pinus_nigra;Pinus_parviflora;Pinus_ponderosa;Pinus_resinosa;Pinus_thunbergii;Populus_spp;Prunus_padus;Prunus_serotina;Prunus_serrulata;Prunus_virginiana;"Pyrus_calleryana ""chantecler""";Pyrus_ussuriensis;Quercus_alba;Quercus_bicolor;Quercus_macrocarpa;Quercus_palustris;Quercus_robur;Quercus_rubra;Robinia_pseudoacacia;Salix_cinerea;Salix_nigra;Salix_udensis;Sorbus_intermedia;Syringa_reticulata;Syringa_villosa;Syringa_vulgaris;Syringa_x chinensis;Syringa_x prestoniae;Taxus_canadensis;Taxus_cuspidata;Tilia_americana;Tilia_cordata;Ulmus_americana;Ulmus_bergmanianna;Ulmus_glabra;Ulmus_minor;Ulmus_propinqua;Ulmus_pumila
Acer_glabra;277;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Acer_grandidentatum;0;260;0;1;0;0;2;2;0;12;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0;3;0;1;4;1;0;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;0;0;0;5;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Acer_negundo;0;0;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Acer_pilosum;0;0;0;268;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
Acer_platanoides;0;1;0;1;282;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0
Acer_saccharinum;0;8;0;2;2;269;0;0;1;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;1;0;0;4;0;1;1;0;1;0;0;0;7;0;1;0;0;0;2;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;6;0;0;0;1;0;0;7;0;0;0
Acer_saccharum;0;2;0;1;0;2;291;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;1;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;1;0;0;0
Acer_sieboldianum;0;6;0;3;0;0;0;290;0;10;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;1;2;0;0;0;0;0;0;0;2;0;5;1;0;0;0;1;0;0;0;0;0;0;1;0;0;5;1;0;0;1;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acer_tataricum;2;0;0;0;1;1;0;2;256;1;0;1;0;0;0;2;4;1;1;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;1;0;0;1;2;2;0;0;0;0;0;2;0;3;3;1;0;3;0;0;0;3;1;0;0;0;0;3;3;0;0;30;0;0;0
Acer_ukurunduense;0;7;0;0;0;0;0;4;5;212;0;2;0;0;0;0;0;0;2;2;0;1;0;0;0;0;6;0;0;6;0;1;4;1;7;1;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;2;1;0;1;3;0;0;1;0;6;2;0;0;0;0;0;0;1;0;0;3;2;0;0;0;0;1;0;0;0
