"Prediction","Acer_negundo","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_tataricum","Aesculus_hippocastanum","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_caroliniana","Carya_cordiformis","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Elaeagnus_angustifolia","Fraxinus_americana","Fraxinus_pennsylvannica","Ginkgo_biloba","Gleditsia_triacanthos","Juglans_cinera","Juglans_nigra","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Malus_spectabilis","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_resinosa","Populus_spp","Prunus_serotina","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_nigra","Sorbus_intermedia","Syringa_reticulata","Syringa_vulgaris","Taxus_canadensis","Taxus_cuspidata","Tilia_americana","Tilia_cordata","Ulmus_americana","Ulmus_glabra","Ulmus_pumila"
"Acer_negundo",283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
"Acer_platanoides",0,278,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0
"Acer_saccharinum",0,2,282,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,20,0,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0,0,0,6,2,1,0,1,2,1,0,0,2,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,3,1,5,0
"Acer_saccharum",0,0,4,293,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7,0,0,2,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,4,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0
"Acer_tataricum",0,2,2,2,268,0,0,1,0,4,6,0,1,3,0,0,0,0,2,1,0,1,0,0,0,0,3,4,1,0,1,0,0,0,3,1,4,1,1,0,0,0,1,0,7,0,0,0,1,1,0,2,2,1,0,4,1,0,2,1,0,3,1,0,19,0
"Aesculus_hippocastanum",0,0,0,0,0,291,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Alnus_glutinosa",0,0,0,0,0,0,306,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Alnus_incana",0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ambrosia_artemisiifolia",0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amelanchier_canadensis",0,0,0,0,1,0,0,0,0,282,4,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0
"Amelanchier_laevis",0,0,2,0,3,0,0,0,0,7,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,3,0,0,0,0,0,1,0,0,2,0
"Betula_alleghaniensis",0,0,0,0,0,0,0,0,0,0,0,256,0,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Betula_nigra",0,0,0,0,0,1,0,0,0,0,0,1,227,5,0,8,5,0,1,0,0,15,2,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,8,0,0,2,0,0,0,3,2,0,0,0,0,0
"Betula_papyrifera",0,0,0,0,2,0,0,0,0,1,0,4,6,242,6,1,3,0,4,1,0,15,0,0,0,2,2,3,1,0,0,2,0,0,3,0,1,1,1,0,0,2,0,0,0,0,0,2,0,0,6,3,2,0,0,1,3,0,2,3,0,0,0,0,1,1
