Prediction;Acer;Aesculus;Alnus;Ambrosia;Amelanchier;Betula;Carpinus;Carya;Celtis;Corylus;Cupressaceae_others;Elaeagnus;Fraxinus;Ginkgo;Gleditsia;Juglans;Juniperus;Ligustrum;Malus;Ostrya;Picea;Pinus;Populus;Prunus;Pyrus;Quercus;Robinia;Salix;Sorbus;Syringa;Taxus;Tilia;Ulmus
Acer;2586;4;0;1;6;7;0;39;0;4;0;5;18;7;5;0;2;1;9;11;1;11;2;17;5;33;1;2;6;31;0;8;24
Aesculus;16;2886;0;0;1;2;0;1;0;0;8;0;52;0;2;0;34;0;1;1;0;0;0;6;0;9;2;2;0;3;10;2;4
Alnus;0;0;2957;0;0;15;0;1;0;3;0;0;3;1;0;0;0;0;1;3;0;0;0;0;0;7;0;0;0;3;0;0;2
Ambrosia;0;0;0;2958;0;0;0;0;0;0;0;0;7;7;0;0;0;0;0;12;0;0;0;0;0;5;0;5;0;1;0;0;0
Amelanchier;17;3;0;0;2928;2;3;20;13;0;0;0;8;5;1;0;4;0;1;18;1;3;0;2;3;35;0;4;1;20;1;5;3
Betula;9;4;6;1;2;2682;10;13;0;82;5;1;61;8;0;2;4;0;13;9;2;10;0;11;0;72;0;19;0;7;41;0;1
Carpinus;0;0;0;1;0;16;2829;4;0;13;3;0;8;5;0;4;0;0;0;8;0;6;0;0;1;18;0;8;3;25;6;1;0
Carya;19;1;0;0;4;5;6;2569;0;2;0;8;7;5;3;11;13;0;5;17;7;44;0;3;1;10;3;2;5;25;1;1;1
Celtis;1;0;0;0;23;0;0;1;2947;0;0;0;13;1;0;0;0;0;1;3;0;0;0;0;0;25;0;0;9;21;0;1;1
Corylus;5;3;26;1;3;68;10;10;0;2684;0;0;40;1;2;2;2;0;1;2;3;3;16;1;0;44;0;33;3;8;6;3;50
Cupressaceae;0;2;0;0;0;1;0;0;0;2;2944;0;3;0;0;0;6;0;0;2;0;4;0;0;0;20;0;3;0;0;33;0;0
Elaeagnus;44;0;0;0;1;1;0;16;0;1;0;2947;0;0;0;1;3;0;15;0;3;20;0;5;4;6;10;2;1;11;1;12;0
Fraxinus;42;40;0;1;2;23;1;6;10;56;1;4;2624;13;2;5;7;0;21;9;6;7;0;4;6;72;1;6;4;61;3;8;18
Ginkgo;6;8;0;2;2;17;1;1;10;2;0;0;22;2789;0;0;1;0;2;59;0;3;0;3;0;84;0;12;3;52;3;0;0
Gleditsia;15;1;0;0;8;1;7;40;1;1;0;2;5;5;2904;7;2;1;0;67;5;1;2;5;1;45;0;4;9;24;0;6;5
Juglans;5;1;0;0;1;27;28;61;1;12;0;2;12;9;6;2983;2;1;2;1;4;13;0;13;0;39;3;2;1;30;0;1;0
Juniperus;0;2;0;0;0;1;0;0;0;2;1;0;8;0;0;0;2810;0;1;1;0;1;2;0;0;8;0;0;0;0;6;0;0
Ligustrum;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;2958;0;0;1;3;0;0;0;0;0;1;0;12;0;0;0
Malus;22;5;0;0;5;10;0;8;0;2;0;20;4;0;0;3;9;0;2747;0;1;139;0;36;1;7;2;1;0;8;9;7;3
Ostrya;10;3;0;8;5;4;20;33;3;1;2;0;5;57;10;0;8;0;0;2739;0;3;0;4;0;36;0;17;3;18;1;0;2
Picea;2;0;0;0;0;0;1;8;0;0;0;4;0;1;0;0;1;0;3;0;2965;58;0;0;1;3;3;1;0;11;0;1;1
Pinus;9;0;0;0;0;1;0;41;0;0;1;3;0;0;0;0;3;0;40;0;3;2572;0;0;0;1;0;1;0;10;0;3;0
Populus;2;0;1;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;2982;0;0;0;0;11;0;0;0;0;17
Prunus;74;18;2;1;16;21;0;13;0;1;1;0;22;7;2;1;5;0;36;2;2;4;2;2871;0;23;0;3;9;19;6;5;7
Pyrus;14;0;0;0;2;3;0;7;0;3;0;0;8;1;3;8;1;1;18;1;1;2;0;4;2980;0;2;1;7;8;0;1;7
Quercus;15;8;0;0;10;40;9;27;7;34;3;3;56;43;2;9;8;0;8;10;1;16;0;9;1;2291;0;21;3;68;14;4;1
Robinia;3;1;0;0;1;4;2;0;0;0;0;3;2;0;0;0;8;0;12;0;0;2;0;6;0;2;3067;4;3;4;1;2;2
Salix;12;15;2;5;1;4;0;0;0;20;21;0;3;0;0;0;20;0;1;43;0;6;2;2;0;29;1;2786;0;0;27;0;12
Sorbus;4;2;0;0;1;4;3;3;1;1;0;0;7;0;0;0;2;0;13;1;0;2;0;5;3;1;0;0;2850;4;3;13;1
Syringa;24;1;0;2;3;2;6;22;5;9;0;5;20;14;23;4;3;0;6;3;1;3;0;4;1;88;0;3;5;2493;0;5;9
Taxus;13;22;2;1;0;25;3;0;0;1;14;3;11;4;0;0;12;0;1;3;2;7;0;0;0;44;0;10;0;0;2812;0;0
Tilia;6;0;0;0;7;3;0;6;1;2;0;0;3;0;2;1;1;1;20;1;0;3;0;7;3;2;0;0;1;16;0;2988;2
Ulmus;12;0;18;0;0;0;0;2;1;40;0;0;1;1;2;0;0;0;0;0;0;1;28;0;0;1;0;18;0;4;0;1;2772
