"Prediction","Acer","Aesculus","Alnus","Ambrosia","Amelanchier","Betula","Carpinus","Carya","Celtis","Corylus","Cupressaceae","Elaeagnus","Fraxinus","Ginkgo","Gleditsia","Juglans","Juniperus","Ligustrum","Malus","Ostrya","Picea","Pinus","Populus","Prunus","Pyrus","Quercus","Robinia","Salix","Sorbus","Syringa","Taxus","Tilia","Ulmus"
"Acer",2635,6,1,2,8,2,2,45,0,6,0,6,19,3,2,1,9,0,16,16,3,8,2,21,4,16,0,5,5,30,4,6,23
"Aesculus",7,2881,0,0,0,1,0,2,0,1,9,0,44,0,0,1,22,0,2,1,1,1,0,4,0,31,0,0,0,0,11,4,3
"Alnus",0,0,2935,0,0,26,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,3,0,0,7,0,1,0,1,0,0,6
"Ambrosia",0,0,0,2952,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,12,0,1,0,0,0,5,0,11,0,1,3,0,0
"Amelanchier",22,6,0,0,2908,4,4,26,15,1,0,1,7,6,3,0,9,0,2,22,1,2,0,0,0,45,0,8,1,11,4,3,2
"Betula",6,11,30,1,0,2516,3,20,1,79,1,0,66,6,0,15,4,4,11,12,1,9,0,4,0,81,0,12,1,37,28,4,2
"Carpinus",0,0,1,2,1,15,2847,23,0,19,0,1,15,9,1,8,2,0,1,4,0,9,0,0,1,95,0,12,0,24,7,0,0
"Carya",15,3,0,1,6,24,3,2445,0,9,5,9,15,7,7,14,10,0,4,12,2,63,0,4,2,15,1,2,4,61,0,3,1
"Celtis",3,3,0,0,23,1,0,1,2943,0,2,0,15,1,0,0,4,0,2,10,1,1,0,0,1,30,0,6,9,22,0,1,0
"Corylus",3,2,24,0,3,51,11,15,1,2575,2,0,28,2,4,5,0,0,2,4,1,0,11,0,1,41,0,40,4,56,5,4,64
"Cupressaceae",0,2,1,1,0,3,0,0,0,2,2909,0,2,1,1,0,6,0,0,8,0,2,0,0,0,19,0,4,3,19,24,0,0
"Elaeagnus",44,0,0,0,0,8,0,22,0,5,1,2956,12,0,1,10,1,0,27,0,4,23,0,11,6,11,17,5,3,14,2,7,1
"Fraxinus",29,31,0,0,3,53,0,11,6,52,2,7,2568,5,1,10,0,0,12,5,10,6,0,7,5,72,4,5,1,55,8,2,8
"Ginkgo",4,7,0,2,3,12,0,3,12,1,2,0,9,2731,1,1,1,0,1,57,0,0,0,0,0,116,0,10,1,119,6,1,0
"Gleditsia",23,0,0,1,7,4,8,45,1,4,0,0,8,2,2886,2,3,0,1,80,4,8,0,2,1,38,0,10,7,25,1,5,6
"Juglans",0,2,0,0,0,84,11,70,1,29,1,0,14,12,5,2945,3,3,8,1,6,14,0,14,1,33,0,3,4,27,0,0,0
"Juniperus",0,3,2,0,0,2,0,0,0,1,7,0,1,1,0,0,2816,0,0,1,0,0,0,0,0,4,0,0,0,1,6,0,0
"Ligustrum",2,0,0,0,0,20,0,4,0,6,0,0,3,0,0,9,0,2951,0,0,0,1,0,2,3,1,1,0,1,5,0,0,0
"Malus",25,5,0,0,5,14,0,8,1,3,0,11,4,1,0,1,14,0,2729,0,4,136,0,35,1,12,2,6,2,18,5,7,4
"Ostrya",6,1,0,12,9,4,10,29,1,2,9,0,1,50,16,0,8,0,1,2709,0,2,0,6,0,27,0,15,3,22,3,0,2
"Picea",5,0,0,0,0,1,1,7,0,1,0,4,0,1,2,4,0,1,7,3,2958,53,0,0,4,5,4,0,1,12,0,1,0
"Pinus",18,3,0,0,0,10,9,83,0,16,0,2,6,4,0,6,4,1,30,3,7,2559,0,0,1,8,3,2,1,12,8,2,0
"Populus",1,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2980,0,0,0,0,6,0,0,0,1,18
"Prunus",61,29,0,1,17,15,0,11,0,3,0,0,25,10,5,0,4,0,49,4,1,4,0,2862,1,24,0,12,12,21,4,20,8
"Pyrus",15,0,0,0,5,4,0,10,0,0,0,0,2,0,2,0,1,1,14,1,1,3,0,0,2972,1,1,1,6,7,0,1,7
"Quercus",13,11,1,0,12,61,11,20,12,23,9,2,78,56,3,5,11,0,5,19,0,17,0,5,0,2154,0,40,5,61,13,3,1
"Robinia",1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,2,7,0,8,0,0,3,0,3,0,1,3059,2,3,5,1,3,3
"Salix",16,3,5,6,4,4,6,1,0,31,13,0,9,11,2,1,12,0,1,20,0,4,5,12,0,20,1,2726,1,4,23,11,19
"Sorbus",5,2,1,0,1,6,0,4,2,4,0,1,3,0,0,1,2,0,10,4,0,3,0,7,2,4,0,3,2840,4,5,11,0
"Syringa",15,2,0,0,8,26,7,39,4,36,10,2,48,56,21,4,4,1,9,7,4,9,0,6,2,124,2,9,7,2305,13,4,12
"Taxus",6,15,1,1,2,15,5,1,0,10,20,0,26,5,0,0,4,0,2,3,0,3,0,4,0,18,0,7,0,1,2798,0,0
"Tilia",2,2,0,0,6,3,0,7,0,1,2,0,2,1,1,1,9,1,24,2,0,1,0,8,3,2,0,1,1,14,2,2973,0
"Ulmus",7,0,10,0,0,0,0,1,0,51,0,0,2,0,2,0,1,0,0,0,0,2,35,1,0,0,0,18,0,3,0,1,2755
