Prediction;Sensitivity;Specificity;Pos Pred Value;Neg Pred Value;Precision;Recall;F1;Prevalence;Detection Rate;Detection Prevalence;Balanced Accuracy
Class: Acer_glabra;0.9052;0.9989;0.9052;0.9989;0.9052;0.9052;0.9052;0.0119;0.0107;0.0119;0.952
Class: Acer_grandidentatum;0.8581;0.9977;0.8176;0.9983;0.8176;0.8581;0.8374;0.0117;0.0101;0.0123;0.9279
Class: Acer_negundo;0.9732;0.9997;0.9732;0.9997;0.9732;0.9732;0.9732;0.0116;0.0113;0.0116;0.9865
Class: Acer_pilosum;0.9241;0.9995;0.9571;0.9991;0.9571;0.9241;0.9404;0.0112;0.0104;0.0109;0.9618
Class: Acer_platanoides;0.9724;0.9993;0.9369;0.9997;0.9369;0.9724;0.9543;0.0112;0.0109;0.0117;0.9858
Class: Acer_saccharinum;0.8791;0.997;0.7775;0.9985;0.7775;0.8791;0.8252;0.0119;0.0104;0.0134;0.938
Class: Acer_saccharum;0.9572;0.9987;0.8954;0.9995;0.8954;0.9572;0.9253;0.0118;0.0113;0.0126;0.978
Class: Acer_sieboldianum;0.9062;0.9975;0.8192;0.9988;0.8192;0.9062;0.8605;0.0124;0.0112;0.0137;0.9519
Class: Acer_tataricum;0.8258;0.9967;0.7507;0.9979;0.7507;0.8258;0.7865;0.012;0.0099;0.0132;0.9112
Class: Acer_ukurunduense;0.7114;0.9969;0.7285;0.9966;0.7285;0.7114;0.7199;0.0116;0.0082;0.0113;0.8542
Class: Aesculus_hippocastanum;0.9381;0.9987;0.8972;0.9993;0.8972;0.9381;0.9172;0.0119;0.0112;0.0124;0.9684
Class: Aesculus_x hybride;0.9064;0.9992;0.9313;0.9989;0.9313;0.9064;0.9186;0.0116;0.0105;0.0113;0.9528
Class: Alnus_glutinosa;0.9842;0.9995;0.9569;0.9998;0.9569;0.9842;0.9704;0.0122;0.0121;0.0126;0.9918
Class: Alnus_incana;0.9766;0.9997;0.9766;0.9997;0.9766;0.9766;0.9766;0.0116;0.0113;0.0116;0.9882
Class: Ambrosia_artemisiifolia;0.9862;0.9995;0.9597;0.9998;0.9597;0.9862;0.9728;0.0112;0.0111;0.0116;0.9929
Class: Amelanchier_canadensis;0.883;0.9983;0.8527;0.9987;0.8527;0.883;0.8676;0.0109;0.0097;0.0113;0.9406
Class: Amelanchier_laevis;0.8554;0.9988;0.9026;0.9982;0.9026;0.8554;0.8784;0.0126;0.0108;0.0119;0.9271
Class: Betula_alleghaniensis;0.899;0.9993;0.942;0.9988;0.942;0.899;0.92;0.0119;0.0107;0.0114;0.9492
