Prediction;Sensitivity;Specificity;Pos Pred Value;Neg Pred Value;Precision;Recall;F1;Prevalence;Detection Rate;Detection Prevalence;Balanced Accuracy
Class: Acer;0.8652;0.9973;0.9086;0.9958;0.9086;0.8652;0.8864;0.0302;0.0261;0.0287;0.9312
Class: Aesculus;0.9525;0.9984;0.9487;0.9985;0.9487;0.9525;0.9506;0.0306;0.0292;0.0307;0.9754
Class: Alnus;0.9811;0.9996;0.987;0.9994;0.987;0.9811;0.984;0.0304;0.0299;0.0303;0.9903
Class: Ambrosia;0.992;0.9996;0.9876;0.9998;0.9876;0.992;0.9898;0.0301;0.0299;0.0303;0.9958
Class: Amelanchier;0.9657;0.9982;0.9442;0.9989;0.9442;0.9657;0.9548;0.0306;0.0296;0.0313;0.9819
Class: Betula;0.8973;0.9959;0.8722;0.9968;0.8722;0.8973;0.8846;0.0302;0.0271;0.0311;0.9466
Class: Carpinus;0.9626;0.9986;0.9561;0.9989;0.9561;0.9626;0.9593;0.0297;0.0286;0.0299;0.9806
Class: Carya;0.87;0.9978;0.9248;0.996;0.9248;0.87;0.8965;0.0298;0.0259;0.0281;0.9339
Class: Celtis;0.9823;0.999;0.9672;0.9994;0.9672;0.9823;0.9747;0.0303;0.0298;0.0308;0.9906
Class: Corylus;0.8947;0.9964;0.8858;0.9967;0.8858;0.8947;0.8902;0.0303;0.0271;0.0306;0.9455
Class: Cupressaceae_others;0.98;0.9992;0.9748;0.9994;0.9748;0.98;0.9774;0.0303;0.0297;0.0305;0.9896
Class: Elaeagnus;0.9791;0.9984;0.9494;0.9993;0.9494;0.9791;0.964;0.0304;0.0298;0.0314;0.9887
Class: Fraxinus;0.8652;0.9954;0.8567;0.9957;0.8567;0.8652;0.8609;0.0306;0.0265;0.0309;0.9303
Class: Ginkgo;0.9347;0.9969;0.9049;0.998;0.9049;0.9347;0.9196;0.0301;0.0282;0.0311;0.9658
Class: Gleditsia;0.9781;0.9972;0.9149;0.9993;0.9149;0.9781;0.9455;0.03;0.0293;0.0321;0.9876
Class: Juglans;0.9793;0.9971;0.915;0.9993;0.915;0.9793;0.9461;0.0308;0.0301;0.0329;0.9882
Class: Juniperus;0.9458;0.9997;0.9884;0.9983;0.9884;0.9458;0.9666;0.03;0.0284;0.0287;0.9727
Class: Ligustrum;0.9983;0.9997;0.9916;0.9999;0.9916;0.9983;0.995;0.0299;0.0299;0.0301;0.999
Class: Malus;0.9224;0.9969;0.901;0.9976;0.901;0.9224;0.9116;0.0301;0.0277;0.0308;0.9596
Class: Ostrya;0.9052;0.9974;0.9154;0.997;0.9154;0.9052;0.9103;0.0306;0.0277;0.0302;0.9513
Class: Picea;0.9854;0.999;0.9677;0.9995;0.9677;0.9854;0.9765;0.0304;0.0299;0.0309;0.9922
Class: Pinus;0.8728;0.9988;0.9568;0.9961;0.9568;0.8728;0.9129;0.0298;0.026;0.0272;0.9358
Class: Populus;0.9822;0.9994;0.9825;0.9994;0.9825;0.9822;0.9824;0.0307;0.0301;0.0307;0.9908
Class: Prunus;0.9513;0.9969;0.9048;0.9985;0.9048;0.9513;0.9275;0.0305;0.029;0.0321;0.9741
Class: Pyrus;0.9897;0.9989;0.9666;0.9997;0.9666;0.9897;0.978;0.0304;0.0301;0.0311;0.9943
Class: Quercus;0.7487;0.9955;0.842;0.992;0.842;0.7487;0.7926;0.0309;0.0231;0.0275;0.8721
Class: Robinia;0.991;0.9994;0.9802;0.9997;0.9802;0.991;0.9855;0.0313;0.031;0.0316;0.9952
Class: Salix;0.9343;0.9976;0.925;0.998;0.925;0.9343;0.9296;0.0301;0.0281;0.0304;0.966
Class: Sorbus;0.974;0.9992;0.9747;0.9992;0.9747;0.974;0.9744;0.0296;0.0288;0.0295;0.9866
Class: Syringa;0.8318;0.9972;0.902;0.9948;0.902;0.8318;0.8655;0.0303;0.0252;0.0279;0.9145
Class: Taxus;0.9424;0.9981;0.9405;0.9982;0.9405;0.9424;0.9414;0.0301;0.0284;0.0302;0.9703
Class: Tilia;0.9708;0.9991;0.9714;0.9991;0.9714;0.9708;0.9711;0.0311;0.0302;0.0311;0.9849
Class: Ulmus;0.9413;0.9986;0.9552;0.9982;0.9552;0.9413;0.9482;0.0297;0.028;0.0293;0.97
