"Prediction","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Acer_glabra",0.8946,0.9986,0.8826,0.9988,0.8826,0.8946,0.8885,0.0114,0.0102,0.0116,0.9466
"Class: Acer_grandidentatum",0.8351,0.9971,0.7628,0.9982,0.7628,0.8351,0.7973,0.011,0.0092,0.0121,0.9161
"Class: Acer_negundo",0.9743,0.9996,0.9681,0.9997,0.9681,0.9743,0.9712,0.0121,0.0117,0.0121,0.9869
"Class: Acer_pilosum",0.9406,0.9993,0.9406,0.9993,0.9406,0.9406,0.9406,0.0117,0.011,0.0117,0.9699
"Class: Acer_platanoides",0.9561,0.9989,0.9071,0.9995,0.9071,0.9561,0.9309,0.0115,0.011,0.0121,0.9775
"Class: Acer_saccharinum",0.8409,0.9976,0.8119,0.9981,0.8119,0.8409,0.8262,0.0119,0.01,0.0124,0.9193
"Class: Acer_saccharum",0.9223,0.998,0.8426,0.9991,0.8426,0.9223,0.8806,0.0115,0.0106,0.0126,0.9601
"Class: Acer_sieboldianum",0.9011,0.9984,0.8586,0.9989,0.8586,0.9011,0.8793,0.011,0.0099,0.0115,0.9497
"Class: Acer_tataricum",0.7857,0.9967,0.731,0.9975,0.731,0.7857,0.7574,0.0114,0.009,0.0122,0.8912
"Class: Acer_ukurunduense",0.6506,0.9973,0.7463,0.9957,0.7463,0.6506,0.6952,0.0121,0.0079,0.0105,0.824
"Class: Aesculus_hippocastanum",0.9214,0.9989,0.9099,0.999,0.9099,0.9214,0.9156,0.0123,0.0114,0.0125,0.9601
"Class: Aesculus_x hybride",0.9112,0.9986,0.8878,0.9989,0.8878,0.9112,0.8994,0.0118,0.0107,0.0121,0.9549
"Class: Alnus_glutinosa",0.9679,0.9989,0.9033,0.9996,0.9033,0.9679,0.9345,0.0109,0.0105,0.0116,0.9834
"Class: Alnus_incana",0.9741,0.9998,0.9869,0.9997,0.9869,0.9741,0.9805,0.012,0.0117,0.0118,0.987
