"Prediction","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Acer",0.9592,0.9901,0.9039,0.996,0.9039,0.9592,0.9307,0.0888,0.0852,0.0942,0.9746
"Class: Aesculus",0.9538,0.9989,0.9534,0.9989,0.9534,0.9538,0.9536,0.024,0.0229,0.024,0.9763
"Class: Alnus",0.99,0.9991,0.99,0.9991,0.99,0.99,0.99,0.0798,0.079,0.0798,0.9946
"Class: Ambrosia",0.9927,0.9997,0.9931,0.9996,0.9931,0.9927,0.9929,0.0482,0.0479,0.0482,0.9962
"Class: Amelanchier",0.821,0.9996,0.9452,0.9986,0.9452,0.821,0.8787,0.0077,0.0063,0.0067,0.9103
"Class: Betula",0.917,0.9942,0.8939,0.9956,0.8939,0.917,0.9053,0.0508,0.0466,0.0521,0.9556
"Class: Carpinus",0.7852,0.9997,0.9477,0.9986,0.9477,0.7852,0.8589,0.0063,0.005,0.0052,0.8925
"Class: Carya",0.8741,0.9976,0.911,0.9964,0.911,0.8741,0.8922,0.0278,0.0243,0.0267,0.9358
"Class: Celtis",0.8276,0.9998,0.9547,0.9992,0.9547,0.8276,0.8866,0.0045,0.0037,0.0039,0.9137
"Class: Corylus",0.8317,0.9986,0.9145,0.9971,0.9145,0.8317,0.8712,0.0171,0.0142,0.0156,0.9152
"Class: Cupressaceae",0.9599,0.9991,0.9504,0.9993,0.9504,0.9599,0.9551,0.0177,0.017,0.0178,0.9795
"Class: Elaeagnus",0.8027,0.9997,0.9366,0.999,0.9366,0.8027,0.8645,0.0048,0.0039,0.0041,0.9012
"Class: Fagus",0.4415,0.9998,0.8488,0.9985,0.8488,0.4415,0.5809,0.0027,0.0012,0.0014,0.7207
"Class: Fraxinus",0.7718,0.9975,0.8653,0.9953,0.8653,0.7718,0.8159,0.0204,0.0157,0.0182,0.8847
"Class: Ginkgo",0.8694,0.9987,0.9193,0.9977,0.9193,0.8694,0.8937,0.0173,0.015,0.0164,0.934
"Class: Gleditsia",0.748,0.9996,0.9156,0.9985,0.9156,0.748,0.8234,0.0059,0.0044,0.0048,0.8738
"Class: Juglans",0.907,0.9982,0.9188,0.9979,0.9188,0.907,0.9128,0.0221,0.0201,0.0219,0.9526
"Class: Juniperus",0.9629,0.9992,0.9882,0.9975,0.9882,0.9629,0.9754,0.0637,0.0614,0.0621,0.981
"Class: Ligustrum",0.976,0.9999,0.9806,0.9998,0.9806,0.976,0.9783,0.0069,0.0068,0.0069,0.988
"Class: Malus",0.8802,0.9981,0.8855,0.998,0.8855,0.8802,0.8828,0.0163,0.0143,0.0162,0.9392
"Class: Ostrya",0.9293,0.9972,0.9344,0.997,0.9344,0.9293,0.9318,0.0409,0.038,0.0407,0.9632
"Class: Picea",0.5219,1,0.9357,0.9994,0.9357,0.5219,0.6701,0.0013,7e-04,8e-04,0.7609
"Class: Pinus",0.9318,0.9972,0.9449,0.9965,0.9449,0.9318,0.9383,0.0495,0.0461,0.0488,0.9645
"Class: Populus",0.9208,0.9999,0.9874,0.9995,0.9874,0.9208,0.9529,0.0064,0.0059,0.0059,0.9604
"Class: Prunus",0.835,0.9989,0.907,0.998,0.907,0.835,0.8695,0.0122,0.0102,0.0112,0.917
"Class: Pyrus",0.7306,0.9999,0.9472,0.9993,0.9472,0.7306,0.8249,0.0028,0.002,0.0021,0.8653
"Class: Quercus",0.9227,0.9777,0.8557,0.9888,0.8557,0.9227,0.8879,0.1256,0.1159,0.1354,0.9502
"Class: Robinia",0.8472,0.9999,0.9617,0.9996,0.9617,0.8472,0.9008,0.0027,0.0023,0.0024,0.9236
"Class: Salix",0.9568,0.9947,0.933,0.9967,0.933,0.9568,0.9448,0.0712,0.0681,0.073,0.9758
"Class: Sorbus",0.6763,1,0.9662,0.9993,0.9662,0.6763,0.7957,0.002,0.0014,0.0014,0.8381
"Class: Syringa",0.8991,0.9942,0.907,0.9937,0.907,0.8991,0.9031,0.0588,0.0529,0.0583,0.9467
"Class: Taxus",0.9542,0.9972,0.9474,0.9975,0.9474,0.9542,0.9508,0.0509,0.0486,0.0513,0.9757
"Class: Tilia",0.9722,0.9993,0.9613,0.9995,0.9613,0.9722,0.9667,0.018,0.0175,0.0182,0.9857
"Class: Ulmus",0.9393,0.999,0.9592,0.9984,0.9592,0.9393,0.9491,0.025,0.0235,0.0245,0.9691
