"Prediction","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Acer_freemanii",0.157,1,0.8636,0.9995,0.8636,0.157,0.2657,6e-04,1e-04,1e-04,0.5785
"Class: Acer_glabra",0.95,0.9991,0.9267,0.9994,0.9267,0.95,0.9382,0.0117,0.0111,0.012,0.9746
"Class: Acer_grandidentatum",0.8671,0.9991,0.839,0.9993,0.839,0.8671,0.8529,0.0054,0.0047,0.0055,0.9331
"Class: Acer_negundo",0.9932,0.9997,0.9878,0.9999,0.9878,0.9932,0.9905,0.0211,0.021,0.0212,0.9965
"Class: Acer_pilosum",0.9738,0.9997,0.9765,0.9996,0.9765,0.9738,0.9751,0.0135,0.0132,0.0135,0.9867
"Class: Acer_platanoides",0.9693,0.9998,0.9405,0.9999,0.9405,0.9693,0.9547,0.0034,0.0033,0.0035,0.9846
"Class: Acer_saccharinum",0.9171,0.9983,0.7897,0.9994,0.7897,0.9171,0.8486,0.0068,0.0062,0.0079,0.9577
"Class: Acer_saccharum",0.4393,1,0.8393,0.9997,0.8393,0.4393,0.5767,6e-04,2e-04,3e-04,0.7196
"Class: Acer_sieboldianum",0.9647,0.9987,0.9159,0.9995,0.9159,0.9647,0.9397,0.0148,0.0143,0.0156,0.9817
"Class: Acer_tataricum",0.783,0.9994,0.8036,0.9993,0.8036,0.783,0.7932,0.0033,0.0026,0.0032,0.8912
"Class: Acer_ukurunduense",0.7227,0.9986,0.7613,0.9983,0.7613,0.7227,0.7415,0.006,0.0044,0.0057,0.8606
"Class: Aesculus_hippocastanum",0.9452,0.9992,0.9362,0.9994,0.9362,0.9452,0.9406,0.0116,0.0109,0.0117,0.9722
"Class: Aesculus_xhybride",0.956,0.9993,0.9426,0.9995,0.9426,0.956,0.9492,0.0119,0.0114,0.012,0.9776
"Class: Alnus_glutinosa",0.9918,0.9992,0.9783,0.9997,0.9783,0.9918,0.985,0.0334,0.0331,0.0338,0.9955
"Class: Alnus_incana",0.9917,0.9995,0.9897,0.9996,0.9897,0.9917,0.9907,0.044,0.0436,0.044,0.9956
"Class: Ambrosia_artemisiifolia",0.9937,0.9996,0.9911,0.9997,0.9911,0.9937,0.9924,0.0469,0.0466,0.047,0.9966
"Class: Amelanchier_canadensis",0.7588,0.9998,0.9171,0.9994,0.9171,0.7588,0.8305,0.0025,0.0019,0.0021,0.8793
"Class: Amelanchier_laevis",0.8549,0.9996,0.9244,0.9993,0.9244,0.8549,0.8883,0.0051,0.0044,0.0047,0.9273
"Class: Betula_alleghaniensis",0.9201,0.9996,0.9491,0.9994,0.9491,0.9201,0.9344,0.0076,0.007,0.0074,0.9599
"Class: Betula_nigra",0.7619,0.9987,0.8053,0.9984,0.8053,0.7619,0.783,0.0068,0.0052,0.0064,0.8803
"Class: Betula_papyrifera",0.7498,0.9985,0.7882,0.9982,0.7882,0.7498,0.7685,0.0072,0.0054,0.0068,0.8742
"Class: Betula_pendula",0.7489,0.9997,0.8701,0.9994,0.8701,0.7489,0.805,0.0025,0.0019,0.0022,0.8743
"Class: Betula_populifolia",0.9383,0.9972,0.8983,0.9984,0.8983,0.9383,0.9179,0.026,0.0244,0.0272,0.9677
"Class: Carpinus_betulus",0.9308,0.9997,0.9341,0.9997,0.9341,0.9308,0.9325,0.0044,0.0041,0.0044,0.9652
"Class: Carpinus_caroliniana",0.6035,0.9997,0.7841,0.9993,0.7841,0.6035,0.682,0.0018,0.0011,0.0014,0.8016
"Class: Carya_cordiformis ",0.9879,0.9997,0.9789,0.9998,0.9789,0.9879,0.9834,0.0144,0.0142,0.0145,0.9938
"Class: Carya_glabra",0.8608,0.9994,0.8321,0.9995,0.8321,0.8608,0.8462,0.0035,0.003,0.0036,0.9301
"Class: Carya_ovata",0.7224,0.9974,0.7261,0.9974,0.7261,0.7224,0.7243,0.0093,0.0067,0.0092,0.8599
"Class: Celtis_occidentalis",0.8709,0.9998,0.9476,0.9994,0.9476,0.8709,0.9076,0.0045,0.0039,0.0041,0.9353
"Class: Corylus_avellana",0.9488,0.999,0.9109,0.9994,0.9109,0.9488,0.9295,0.0109,0.0104,0.0114,0.9739
"Class: Corylus_colurna",0.5943,0.9989,0.6713,0.9984,0.6713,0.5943,0.6304,0.0039,0.0023,0.0034,0.7966
"Class: Corylus_cornuta",0.8843,0.9999,0.9169,0.9998,0.9169,0.8843,0.9003,0.0018,0.0016,0.0017,0.9421
"Class: Cupressaceae_",0.9669,0.9989,0.9417,0.9994,0.9417,0.9669,0.9541,0.0175,0.017,0.018,0.9829
"Class: Debris",0.8815,0.9975,0.854,0.998,0.854,0.8815,0.8675,0.0163,0.0143,0.0168,0.9395
"Class: Elaeagnus_angustifolia",0.8619,0.9994,0.8836,0.9993,0.8836,0.8619,0.8726,0.0049,0.0043,0.0048,0.9307
"Class: Fagus_grandifolia",0.5556,0.9995,0.7331,0.9989,0.7331,0.5556,0.6321,0.0024,0.0013,0.0018,0.7775
"Class: Fraxinus_americana",0.8309,0.9996,0.9225,0.9992,0.9225,0.8309,0.8743,0.005,0.0042,0.0045,0.9153
"Class: Fraxinus_nigra",0.7143,0.9994,0.8059,0.9991,0.8059,0.7143,0.7573,0.0033,0.0023,0.0029,0.8569
"Class: Fraxinus_pennsylvannica",0.805,0.998,0.8262,0.9977,0.8262,0.805,0.8154,0.0115,0.0093,0.0112,0.9015
"Class: Ginkgo_biloba",0.8946,0.998,0.8906,0.9981,0.8906,0.8946,0.8926,0.0175,0.0156,0.0176,0.9463
"Class: Gleditsia_triacanthos",0.7829,0.9993,0.874,0.9987,0.874,0.7829,0.826,0.0061,0.0048,0.0055,0.8911
"Class: Juglans_cinerea",0.6842,1,0.8667,0.9999,0.8667,0.6842,0.7647,4e-04,3e-04,3e-04,0.8421
"Class: Juglans_nigra",0.8052,0.9993,0.852,0.999,0.852,0.8052,0.8279,0.0051,0.0041,0.0048,0.9022
"Class: Juglans_spp",0.9446,0.9986,0.9157,0.9991,0.9157,0.9446,0.9299,0.016,0.0151,0.0165,0.9716
"Class: Juniperus_chinensis",0.7839,0.9991,0.8925,0.998,0.8925,0.7839,0.8347,0.0091,0.0071,0.008,0.8915
"Class: Juniperus_communis",0.9945,0.9998,0.9964,0.9997,0.9964,0.9945,0.9954,0.0543,0.054,0.0541,0.9971
"Class: Ligustrum_vulgare",0.9803,0.9998,0.975,0.9999,0.975,0.9803,0.9776,0.0067,0.0066,0.0067,0.9901
"Class: Malus_baccata",0.9388,0.9997,0.9103,0.9998,0.9103,0.9388,0.9243,0.0032,0.003,0.0033,0.9693
"Class: Malus_pumila",0.8795,0.9991,0.8312,0.9994,0.8312,0.8795,0.8546,0.005,0.0044,0.0053,0.9393
"Class: Malus_spectabilis",0.9164,0.9989,0.8663,0.9993,0.8663,0.9164,0.8907,0.008,0.0074,0.0085,0.9577
"Class: Ostrya_virginiana",0.9403,0.9963,0.9156,0.9974,0.9156,0.9403,0.9278,0.0414,0.0389,0.0425,0.9683
"Class: Picea_abies",0.6213,0.9999,0.8942,0.9995,0.8942,0.6213,0.7332,0.0014,9e-04,0.001,0.8106
"Class: Pinus_banksiana",0.6461,0.9996,0.7393,0.9993,0.7393,0.6461,0.6896,0.002,0.0013,0.0017,0.8228
"Class: Pinus_nigra",0.9758,0.9997,0.986,0.9995,0.986,0.9758,0.9809,0.0221,0.0215,0.0218,0.9878
"Class: Pinus_parviflora",0.6857,0.9994,0.851,0.9985,0.851,0.6857,0.7595,0.0047,0.0032,0.0038,0.8426
"Class: Pinus_ponderosa",0.9352,0.9999,0.9786,0.9998,0.9786,0.9352,0.9564,0.0031,0.0029,0.003,0.9675
"Class: Pinus_resinosa",0.8393,0.9982,0.8435,0.9981,0.8435,0.8393,0.8414,0.0117,0.0098,0.0116,0.9187
"Class: Pinus_thunbergii",0.7736,0.9994,0.8425,0.999,0.8425,0.7736,0.8066,0.0042,0.0032,0.0039,0.8865
"Class: Populus_spp",0.9375,0.9998,0.9631,0.9996,0.9631,0.9375,0.9501,0.0062,0.0058,0.006,0.9686
"Class: Prunus_padus",0.572,0.9997,0.7588,0.9994,0.7588,0.572,0.6523,0.0014,8e-04,0.0011,0.7859
"Class: Prunus_serotina",0.8519,0.9997,0.8612,0.9996,0.8612,0.8519,0.8565,0.0024,0.0021,0.0024,0.9258
"Class: Prunus_serrulata",0.8924,0.9991,0.8608,0.9993,0.8608,0.8924,0.8763,0.0062,0.0055,0.0064,0.9458
