"Prediction","Acer_freemanii","Acer_glabra","Acer_grandidentatum","Acer_negundo","Acer_pilosum","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_sieboldianum","Acer_tataricum","Acer_ukurunduense","Aesculus_hippocastanum","Aesculus_xhybride","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_betulus","Carpinus_caroliniana","Carya_cordiformis ","Carya_glabra","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Debris","Elaeagnus_angustifolia","Fagus_grandifolia","Fraxinus_americana","Fraxinus_nigra","Fraxinus_pennsylvannica","Ginkgo_biloba","Gleditsia_triacanthos","Juglans_cinerea","Juglans_nigra","Juglans_spp","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Malus_spectabilis","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_ponderosa","Pinus_resinosa","Pinus_thunbergii","Populus_spp","Prunus_padus","Prunus_serotina","Prunus_serrulata","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Pyrus_ussuriensis","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_gracilistyla","Salix_nigra","Salix_spp","Salix_udensis","Sorbus_intermedia","Syringa_reticulata","Syringa_villosa","Syringa_vulgaris","Syringa_xchinensis","Syringa_xprestoniae","Taxus_canadensis","Taxus_cuspidata","Taxus_xmedia","Tilia_americana","Tilia_cordata","Ulmus_ameicana","Ulmus_bergmanianna","Ulmus_glabra","Ulmus_minor","Ulmus_propinqua","Ulmus_pumila"
"Acer_freemanii",19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_glabra",0,2110,0,0,0,1,0,0,0,11,0,1,18,3,0,0,0,1,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,11,1,0,0,0,0,0,0,0,0,45,19,1,0,0,0,2,7,4,0,1,3,1,0,0,2,1,1,0,0,2,0,0,0,1,2,1,4,0,0,0,2,0,0,0
"Acer_grandidentatum",10,0,881,0,0,0,3,3,5,1,45,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,24,0,0,5,0,0,0,7,4,0,0,4,2,2,0,1,3,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,9,0,1,1,1,0,1,2,2,2,0,0,0,0,0,0,0,0,2,2,12,1,0,0,0,0,0,0,0,1,0,0,0
"Acer_negundo",0,0,0,3972,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,8,0,2,3,16
"Acer_pilosum",1,0,1,0,2492,1,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,4,7,0,1,3,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,3,0
"Acer_platanoides",0,0,1,1,0,632,7,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,4,0,0,0
"Acer_saccharinum",6,0,18,0,8,1,1183,5,3,2,8,0,0,0,0,1,0,5,0,0,0,0,1,1,0,0,3,65,0,0,1,0,0,0,2,0,0,0,1,2,21,0,2,3,3,0,2,1,0,0,29,1,0,2,3,0,1,0,0,0,0,5,0,3,4,1,0,2,0,3,6,1,1,0,1,0,0,0,0,11,0,8,41,0,1,1,0,9,0,0,15,0,0,0
"Acer_saccharum",0,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Acer_sieboldianum",6,0,18,0,6,1,2,0,2701,1,48,0,0,0,0,0,1,4,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,2,17,1,5,1,11,1,0,0,2,2,2,0,0,4,0,13,2,1,0,0,3,0,1,0,0,1,0,12,1,0,19,0,0,2,1,3,21,0,0,0,3,0,1,6,0,0,0,6,0,1,1,2,4,1,0,0,0,0,0,0
"Acer_tataricum",1,2,0,0,2,0,1,0,3,487,2,0,1,0,0,0,3,2,2,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,5,5,0,0,0,0,0,1,0,0,0,2,1,2,0,1,0,4,2,0,6,6,0,0,0,1,0,1,0,0,8,2,0,0,0,0,0,0,2,0,0,36,0,0,0
