"Family","Genus","species"
"Fagaceae","Quercus","Quercus_macrocarpa"
"Juglandaceae","Juglans","Juglans_spp"
"Oleaceae","Fraxinus","Fraxinus_americana"
"Oleaceae","Syringa","Syringa_xchinensis"
"Betulaceae","Betula","Betula_populifolia"
"Sapindaceae","Acer","Acer_negundo"
"Pinaceae","Pinus","Pinus_nigra"
"Taxaceae","Taxus","Taxus_xmedia"
"Fagaceae","Quercus","Quercus_alba"
"Salicaceae","Salix","Salix_nigra"
"Betulaceae","Ostrya","Ostrya_virginiana"
"Betulaceae","Corylus","Corylus_avellana"
"Betulaceae","Betula","Betula_pendula"
"Sapindaceae","Acer","Acer_ukurunduense"
"","Ambrosia","Ambrosia_artemisiifolia"
"Rosaceae","Malus","Malus_pumila"
"Juglandaceae","Carya","Carya_ovata"
"Betulaceae","Corylus","Corylus_cornuta"
"Betulaceae","Alnus","Alnus_incana"
"Cupressaceae","Juniperus","Juniperus_communis"
"Oleaceae","Fraxinus","Fraxinus_nigra"
"Oleaceae","Syringa","Syringa_villosa"
"Rosaceae","Prunus","Prunus_serrulata"
"Cupressaceae","Juniperus","Juniperus_chinensis"
"Fagaceae","Quercus","Quercus_bicolor"
"Betulaceae","Alnus","Alnus_glutinosa"
"Fagaceae","Quercus","Quercus_robur"
"Betulaceae","Betula","Betula_papyrifera"
"Taxaceae","Taxus","Taxus_cuspidata"
"Cupressaceae","Cupressaceae","Cupressaceae_"
"Tiliaceae","Tilia","Tilia_cordata"
"Oleaceae","Fraxinus","Fraxinus_pennsylvannica"
"Juglandaceae","Carya","Carya_cordiformis "
"Pinaceae","Pinus","Pinus_resinosa"
"Fagaceae","Quercus","Quercus_palustris"
"Salicaceae","Salix","Salix_udensis"
"Ginkgoaceae","Ginkgo","Ginkgo_biloba"
"Salicaceae","Salix","Salix_cinerea"
"Sapindaceae","Acer","Acer_glabra"
"Pinaceae","Picea","Picea_abies"
"Oleaceae","Syringa","Syringa_xprestoniae"
"Pinaceae","Pinus","Pinus_parviflora"
"Sapindaceae","Aesculus","Aesculus_hippocastanum"
"Oleaceae","Ligustrum","Ligustrum_vulgare"
"Sapindaceae","Aesculus","Aesculus_xhybride"
"Rosaceae","Amelanchier","Amelanchier_canadensis"
"Rosaceae","Amelanchier","Amelanchier_laevis"
"Ulmaceae","Ulmus","Ulmus_ameicana"
"Fabaceae","Robinia","Robinia_pseudoacacia"
"Elaeagnaceae","Elaeagnus","Elaeagnus_angustifolia"
"Sapindaceae","Acer","Acer_platanoides"
"Sapindaceae","Acer","Acer_pilosum"
"Betulaceae","Betula","Betula_alleghaniensis"
"Juglandaceae","Carya","Carya_glabra"
"Rosaceae","Prunus","Prunus_padus"
"Juglandaceae","Juglans","Juglans_nigra"
"Betulaceae","Carpinus","Carpinus_betulus"
"Betulaceae","Corylus","Corylus_colurna"
"Salicaceae","Salix","Salix_gracilistyla"
"Sapindaceae","Acer","Acer_sieboldianum"
"Salicaceae","Salix","Salix_spp"
"Fagaceae","Fagus","Fagus_grandifolia"
"Cannabacées","Celtis","Celtis_occidentalis"
"Ulmaceae","Ulmus","Ulmus_propinqua"
"Salicaceae","Populus","Populus_spp"
"Rosaceae","Prunus","Prunus_serotina"
"Fabaceae","Gleditsia","Gleditsia_triacanthos"
"Oleaceae","Syringa","Syringa_vulgaris"
"Sapindaceae","Acer","Acer_saccharum"
"Betulaceae","Betula","Betula_nigra"
"Ulmaceae","Ulmus","Ulmus_pumila"
"Ulmaceae","Ulmus","Ulmus_glabra"
"Pinaceae","Pinus","Pinus_thunbergii"
"Fagaceae","Quercus","Quercus_rubra"
"Tiliaceae","Tilia","Tilia_americana"
"Sapindaceae","Acer","Acer_tataricum"
"Rosaceae","Malus","Malus_spectabilis"
"Sapindaceae","Acer","Acer_saccharinum"
"Ulmaceae","Ulmus","Ulmus_minor"
"Pinaceae","Pinus","Pinus_banksiana"
"Rosaceae","Prunus","Prunus_virginiana"
"Sapindaceae","Acer","Acer_freemanii"
"Rosaceae","Malus","Malus_baccata"
"Oleaceae","Syringa","Syringa_reticulata"
"Taxaceae","Taxus","Taxus_canadensis"
"Pinaceae","Pinus","Pinus_ponderosa"
"Betulaceae","Carpinus","Carpinus_caroliniana"
"Sapindaceae","Acer","Acer_grandidentatum"
"Rosaceae","Pyrus","Pyrus_calleryana ""chantecler"""
"Rosaceae","Sorbus","Sorbus_intermedia"
"Ulmaceae","Ulmus","Ulmus_bergmanianna"
"Rosaceae","Pyrus","Pyrus_ussuriensis"
"Juglandaceae","Juglans","Juglans_cinerea"
